ngram,time_slot,df,sum_df_prev,trend_score,boost
makan,2025-08-09 11:00,11,1,11.652149,1.0
makan gizi gratis,2025-08-09 11:00,11,1,11.652149,1.0
gratis,2025-08-09 11:00,11,1,11.652149,1.0
gizi,2025-08-09 11:00,11,1,11.652149,1.0
makan gizi,2025-08-09 11:00,11,1,11.652149,1.0
makan,2025-08-09 12:00,10,12,8.395954,1.0
makan gizi gratis,2025-08-09 12:00,10,12,8.395954,1.0
gratis,2025-08-09 12:00,10,12,8.395954,1.0
gizi,2025-08-09 12:00,10,12,8.395954,1.0
makan gizi,2025-08-09 12:00,10,12,8.395954,1.0
mbg,2025-08-09 13:00,36,19,25.434165,1.0
makan,2025-08-09 13:00,37,22,25.151811,1.0
makan gizi gratis,2025-08-09 13:00,37,22,25.151811,1.0
gratis,2025-08-09 13:00,37,22,25.151811,1.0
gizi,2025-08-09 13:00,37,22,25.151811,1.0
gratis,2025-08-09 14:00,52,59,26.169208,1.0
makan,2025-08-09 14:00,52,59,26.169208,1.0
mbg,2025-08-09 14:00,50,55,25.746793,1.0
makan gizi gratis,2025-08-09 14:00,50,59,25.181691,1.0
gizi,2025-08-09 14:00,50,59,25.181691,1.0
mbg,2025-08-09 15:00,15,105,6.582341,1.0
makan gizi gratis,2025-08-09 15:00,15,109,6.505865,1.0
gizi,2025-08-09 15:00,15,109,6.505865,1.0
makan gizi,2025-08-09 15:00,15,109,6.505865,1.0
gizi gratis,2025-08-09 15:00,15,109,6.505865,1.0
gratis mbg,2025-08-09 16:00,3,40,2.229714,1.0
gizi gratis mbg,2025-08-09 16:00,3,40,2.229714,1.0
harga,2025-08-09 16:00,3,51,2.067922,1.0
mbg,2025-08-09 16:00,4,120,1.973219,1.0
awas,2025-08-09 16:00,3,78,1.807483,1.0
program makan,2025-11-09 04:00,3,15,2.90974,1.0
program makan gizi,2025-11-09 04:00,3,15,2.90974,1.0
program,2025-11-09 04:00,3,22,2.647559,1.0
makan gizi,2025-11-09 04:00,3,134,1.525852,1.0
gizi,2025-11-09 04:00,3,134,1.525852,1.0
makan gizi,2025-11-09 05:00,3,137,1.515559,1.0
gizi,2025-11-09 05:00,3,137,1.515559,1.0
gizi gratis,2025-11-09 05:00,3,137,1.515559,1.0
makan gizi gratis,2025-11-09 05:00,3,137,1.515559,1.0
gratis,2025-11-09 05:00,3,139,1.508872,1.0
program,2025-11-09 06:00,3,26,2.529996,1.0
mbg,2025-11-09 06:00,3,131,1.536477,1.0
dukung program,2025-11-09 07:00,4,1,4.855062,1.0
dukung program makan,2025-11-09 07:00,4,1,4.855062,1.0
dukung,2025-11-09 07:00,4,6,4.284292,1.0
cemerlang,2025-11-09 07:00,3,0,4.0,1.0
makan gizi gratis,2025-11-09 07:00,9,141,3.755801,1.0
mbg,2025-11-09 08:00,6,135,2.664174,1.0
anak,2025-11-09 08:00,3,22,2.647559,1.0
makan,2025-11-09 08:00,3,152,1.468511,1.0
sekolah,2025-11-09 09:00,3,5,3.505455,1.0
program,2025-11-09 09:00,5,35,3.482298,1.0
makan gizi,2025-11-09 09:00,6,152,2.569894,1.0
gizi,2025-11-09 09:00,6,152,2.569894,1.0
gizi gratis,2025-11-09 09:00,6,152,2.569894,1.0
mbg,2025-11-09 10:00,14,146,5.574388,1.0
program,2025-11-09 10:00,9,40,5.574286,1.0
program makan,2025-11-09 10:00,7,28,4.955505,1.0
program makan gizi,2025-11-09 10:00,7,28,4.955505,1.0
dapur,2025-11-09 10:00,4,5,4.381819,1.0
indonesia,2025-11-09 11:00,3,12,4.579611,1.5
mbg,2025-11-09 11:00,8,160,3.253581,1.0
anak,2025-11-09 11:00,4,30,3.03651,1.0
sehat,2025-11-09 11:00,3,13,3.002701,1.0
program makan,2025-11-09 11:00,3,35,2.321532,1.0
mbg,2025-11-09 12:00,15,168,5.700447,1.0
racun,2025-11-09 12:00,4,5,4.381819,1.0
racun mbg,2025-11-09 12:00,3,1,3.88405,1.0
orang,2025-11-09 12:00,3,8,3.286597,1.0
anak,2025-11-09 12:00,4,34,2.927083,1.0
mbg,2025-11-09 13:00,13,183,4.863187,1.0
didik,2025-11-09 13:00,3,4,3.589342,1.0
anggar,2025-11-09 13:00,3,43,2.180757,1.0
makan,2025-11-09 13:00,4,180,1.745332,1.0
mbg,2025-11-09 14:00,3,196,1.361835,1.0
prabowo,2025-11-09 15:00,4,5,6.572729,1.5
mbg,2025-11-09 15:00,8,199,3.05061,1.0
gizi,2025-11-09 15:00,3,180,1.396266,1.0
makan,2025-11-09 15:00,3,186,1.382856,1.0
mbg,2025-11-09 17:00,4,209,1.670883,1.0
mbg,2025-11-09 22:00,3,217,1.322334,1.0
anak anak,2025-11-09 23:00,4,8,4.108246,1.0
anak,2025-11-09 23:00,4,44,2.706656,1.0
program makan gizi,2025-11-09 23:00,4,45,2.687881,1.0
program makan,2025-11-09 23:00,4,46,2.669599,1.0
makan gizi gratis,2025-11-09 23:00,6,184,2.427698,1.0
